sentiment,review_body,product_category
-1,If you like to wear lampshades this is the shirt for you. beyond unflattering. boxy and seriously looks like lace was stitched to the bottom of a lampshade,Blouses
-1,Cute in theory  i love the bright colors  the tied black collar sash and the 70's vibe  however  the fabric is cheap  and the worst part in my view is that the seams that run along the front center of the shirt do not align the pattern. maybe this was intentional  but with the shirt i received  it looked horrible. i sent it back. i notice in the picture that the black ties are strategically placed over the center front seam  so it is a bit deceiving. i wouldn't buy this top at any price based on,Blouses
-1,This top is exactly what i was hoping for except it is missing the drawstring. so disappointing  mailing it back.,Blouses
-1,The zipper broke on this piece the first time i wore it. very disappointing since i love the design. i'm actually going to try to replace the zipper myself with something stronger  but annoying that it's come to that.,Blouses
-1,I am very disappointed with this order. the shirt looks and feels cheap  is not flattering in any way. i am sending it back right away.,Blouses
-1,This is a gorgeous top. very well made with a classy design. it fits true to size from the lower chest up. however  at about the mid-belly range  the shirt widens out and basically allows a 5 month twin pregnancy to comfortably fit in. size xs. i was so sad. for the price  i can't justify taking it for alterations. it would have been the perfect top.,Blouses
-1,I liked this top okay but i did not think it was worth full price. i thought it was only average.,Blouses
-1,On my screen this looked like burnt oranges were mixed with pink but this was all pink & very washed put pinks - looked awful on me as brunette. maybe will work for someone who likes pastels. overall style was also disappointing- just hung. this went back.,Blouses
-1,If you are over 25  this top probably is not for you. it is absolutely see-thru. great style and beautiful light fabric  but you can see right thru it.,Blouses
0,Too pricey for the quality of this imported product.,Blouses
0,"Beautiful blouse in theory  however  on my 5'9"" frame it came off like a costume. i truly had a nice chuckle as i looked at myself in the mirror. had to sadly return it",Blouses
0,This blouse is super cute but oddly sized. i bought a size up and still i squeezed into the top around the bust. the front slit is too low and shows a bit too much cleavage  so this had to go back. i really tried because the fabric is wonderful and the shirt is light and breezy for summer  i just couldn't make it work  .,Blouses
0,I love the metallic colors of this top and figured i could wear it under a ruched jacket and circle skirt for work. welp  that's out the window. this design is poor. for one  this is not a piece for a petite woman with no torso and i don't know how anyone with a longer torso wears t his. this hits above my belly botton on and i got apetite 2. i have no torso. so  without a jacket  i would never wear this. it's very low cut..the back is very low..it's a little loose but i run between a 2 and a 4.,Blouses
0,I thought this top had shimmery dots  that is what it looks like in the picture. but when it arrived  it looks much plainer in-person and i could not believe it was this top. the dots are polka dots. the embroidery at the v-neck doesn't stand out much in the photo but it does in-person. the top runs true to size but the fit didn't feel as perfect for me. i am sending it back. i needed a more shimmery top.,Blouses
0,First  i absolutely love cloth & stone. but lately i'm finding some of the styles are going in a direction that just doesn't fit my style. that's ok because they still have some good basics.       what i mean is the cut. a lot of their pieces are super long in the back and super short in the front (ie their slip dress they have out right now). this particular tank is like that  although this one is borderline. the sides cut up a little too high for my tastes and i can't help but think i'm wearin,Blouses
0,I so wanted to love this top. i first ordered in the medium because previous reviews said it ran large. i got the medium and it ran so small in the arms that i could almost not get it off with ripping it. so i ordered an xl hoping that would work. unfortunately it ran just as small i'm the arms and i had to return.,Blouses
0,Beautiful but big. i exchanged my 0 for a 00  and  oddly enough  there was no difference! had a similar experience with another 00 blouse. am i crazy  or is the 00 size just a sham?,Blouses
0,The top was very nice and i liked the material. my problem was getting it on with the cami being attached to the top. it took me a while to figure it out. and for that reason alone i returned it.,Blouses
1,Perfect trans top.  skinnies or boyfriend and booties.  love the mixed prints,Blouses
1,I absolutely loved this once i got it out of the package. it's a very vibrant print in the red print  almost a picnic vibe  and the material feels soft and high quality. it runs very large though  i usually take an 8 or maybe a 6  and am busty  and in this i am pretty sure i will need the 4. i almost convinced myself i had lost weight when i tried it on! but i will return the 8 and get the 4 in the red  as well as probably at least one of the other colors as i like it so much.,Blouses
1,This is an eye-catching top and cute design. the xs fit but was extra-billowy for my taste...if you notice on the model it also shows that the back is not fitted and flows behind wider than is normal...a great and breezy style  but for me  sadly it overwhelmed my short frame. the bottom of the ruffle hit me just at the hips which made the top also a tad too short for my taste. i am sure on others it will work and look amazing.,Blouses
1,Another really cute iop (i tried on the blue)  but if you are short  you definitely ned a petite size. sofy fabric  and pretty pattern  like hte tie nexk. too bad they sold out in my size...,Blouses
1,I was eyeing this blouse when the catelog was mailed to me earlier this year. i never got a chance to try it on in stores  but when i saw it online and on sale i snagged it. what i didn't realize was the intricate design of this blouse. ithas really pretty lace all over the top and then fine beading securely sewn on. the blouse has crochet sleeve designs and also a very pretty neck bib area. it fits me tts and very comfortably. i love the airy feeling of it and it actually also isn't too long on,Blouses
1,I received many compliments on this top. it's very cute and versatile. a pair of jeans or a skirt or capris all can work well with this.,Blouses
1,I love this blouse. it's really pretty and very flattering. it makes your waist look small. i usually wear a size 6 or 8. after reading the reviews saying it ran small  i ordered an 8 and a 10. the 10 fit perfectly  so i didn't even try the 8 on. it is a little difficult to get on and off due to the zipper on the side. that is my only complaint.,Blouses
1,I love this blouse!! the shape is very flattering. the fabric is sheer  perfect for those hot summer days. i especially like the way the sleeves fall  just enough flounce. the buttons are a great detail. i didn't bother undoing them  just threw it over my head. looks great dressed up or down.,Blouses
1,"I bought this top in a size 6 - i'm 5'5"" with a longer torso. i thought at first that this would be too boxy and cropped but it fits very well and it still covers my stomach when i raise my arms up. the material is on the thicker side so it's a little more structured which i think gives it a nice look and drape. i feel like i could wear this shirt out on a casual day or to work with a blazer over it to dress it up more. i highly recommend it especially since the material is linen and cotton whic",Blouses
-1,I was attracted to the feminine design of the dress  the silhouette  the flouncy skirt; however  i ordered the red motif pattern and hated the splotchy  dark colors.,Dresses
-1,I am 5'2 107lb and an xs petite.the embroidery was the only nice thing about this dress  but everything else was really unflattering -- the huge puffy sleeves especially. another reviewer said this was more like a shift  and she was right. not worth the price on sale.,Dresses
-1,I normally wear a medium in retailer dresses  but ordered a small due to the reviews that stated how large this dress is. they weren't exaggerating!!!! the small was way too big for me  and the xxs and xs are already sold out. beware that you will have to size down at least 2 sizes to make the dress fit similar to the model pictured. it is going back for me!,Dresses
-1,Thought this would be great for a laid-back wedding in new mexico  but didn't fit. i am a 12-14 and the 14 barely fit my chest and arms. not flattering. material did not seem very breakthable. had to return. better luck next time.,Dresses
-1,"When i ordered this dress  i thought to myself ""hmm  it seems a little close to showing some side boob  but maybe that's just the angle of the photo."" flash forward to me trying it on in my home - ""yep  that's some side boob."" it is very low cut under the arms. if you're super slim  this might be a good look  but on a curvy gal with some boobs  it was obscene. also  i'm a solid 12 in most retailer brands  so i ordered a l and an xl just in case. the xl wouldn't even zip up. returning.",Dresses
-1,I loved the idea of this dress and was hoping it would be worth the astronomical price tag for what really is a cotton jersey dress. unfortunately  this dress missed the mark. in the pictures this dress looks like the fabrics are navy blue and some sort of white. well  it is not white or whitish at all but baby pink! bright baby pink! even the light pattern on the navy background is actually pink. huge disappointment. my other issue is with the length of this dress. the description says that the,Dresses
-1,"I ordered this in the ""plum"" color  which in real life just looks like a very  very dark brown. that would probably be okay  but the dress is actually about 3 inches shorter than the listed measurements. i ordered the regular length  but the shortest part of the hem hits me only about halfway down my thigh...way  way too short. i am 5'5""  for reference. lastly  i think the fabric is just awful quality  especially for this price point. the slight texture makes it want to cling to itself - worn ou",Dresses
-1,I was looking for a dress for playing cello at my friend's wedding. the colors looked perfect  the cut was great  etc. very disappointed to find out how sparkly and scratchy the dress was in person  and sad that the slit came right to my knee  which is a really weird height. sadly returning - might purchase again if it goes on sale and i can't find anything better before the wedding :(,Dresses
-1,I really wanted to like this... it's soft and cozy and a nice shade of blue  but that's where the positives end. i ordered the xs and it was huge. wide  shapeless  and way too long (i'm 105lbs and 5'1). even if it came in petite  i'm not sure it's worth the price  because i can imagine the thin material losing its shape and getting stretched out.,Dresses
0,Unfortunately this dress ran very large on me (please no more vanity sizing!) and minimized what few curves i have. my store didn't have this in petite so i tried a regular xs - the neckline was low and there were at least 4 inches of space at the waist. it also flares out quite a bit  you can see this in the catalog shot. while this wasn't flattering on me  it may work better on curvier figures.,Dresses
0,I just got this dress in the mail and tried it on. i loved it the fit was perfect tts  and it is very soft and comfortable. however  it appears that the black striped area has bled onto the off white portion and there are stripes of gray across the chest and blotches on the sides of the dress. i am sending it back and ordering another and hoping for the best. i am very concerned that when it is cleaned it will bleed again. i love the dress so much i am willing to risk it  but i am doubtful. so b,Dresses
0,This sweater dress color is great and texture is nice however ran huge. read the other reviews before ordering and ordered down to a medium and was just to boxy and could not get it to hang well. unfortunately it went back.,Dresses
0,This is a shift dress  which is a great dress for many people  in a kind of man-repeller way. by saying that  i mean  a really pretty dress that can show off amazing shoes  good legs  a beautiful face and hair. this is not a body con dress. however  when you do such a high neckline and boxy sleeves  you do no one any favors. everyone has a nice neck and decolletage and collarbone. everyone. the neckline needs to open up a bit....i'm not saying v-neck  just a bit lower than this  because it makes,Dresses
0,This dress is most definitely not a maxi! barely goes below the knees. also you do not get the cute detail shown on bodice. there are no folds which were an added plus on picture. waist is higher  not at natural waist. very pretty silk though and still cute. just not as pictured.,Dresses
0,Loved the style and color/design but this dress was simply too short in the front. the slip was also slightly tight over hips. i wish this was longer!,Dresses
0,"The minute i put this on i knew it was wrong. firstly  the neck was quite tight and i had to untie the side tie. secondly  as i stood looking in the mirror  the dress simply read ""nightgown"". it was frumpy and too long on me. so back it went.",Dresses
